product_name,selling_price_inr,mrp_inr,discount_as_listed,discount_calculated,num_reviews,category,platform,source_url,scraped_at
"MOTOROLA g35 5G (Leaf Green, 128 GB)",12489,12499,,0.08,"(1,34,956)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"MOTOROLA g06 power (Pantone tapestry, 64 GB)",9989,9999,,0.1,"(14,251)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"MOTOROLA g35 5G (Midnight Black, 128 GB)",12489,12499,,0.08,"(1,34,956)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"Google Pixel 9A (Obsidian, 256 GB)",39989,49999,20,20.02,"(10,197)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"Apple iPhone 15 (Pink, 128 GB)",59890,59900,,0.02,"(2,74,062)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"MOTOROLA g57 power 5G (Pantone Regatta, 128 GB)",15989,17999,11,11.17,"(40,902)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",13989,15499,9,9.74,"(24,157)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"vivo T5x 5G (Cyber Green, 128 GB)",24989,30999,19,19.39,"(8,294)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"vivo T5x 5G (Cyber Green, 128 GB)",22989,28999,20,20.72,"(7,458)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"vivo T5x 5G (Star Silver, 128 GB)",22989,28999,20,20.72,"(7,458)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"POCO C75 5G (Silver Stardust, 64 GB)",10989,10999,,0.09,"(1,63,497)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",12489,13999,10,10.79,"(46,284)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"MOTOROLA g35 5G (Guava Red, 128 GB)",12489,12499,,0.08,"(1,34,956)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"realme P4 Lite (Beach Gold, 64 GB)",9989,12999,23,23.16,"(1,857)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"realme P4 Lite (Sea Blue, 64 GB)",9989,12999,23,23.16,"(1,857)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",12489,13999,10,10.79,"(46,284)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"POCO C75 5G (Enchanted Green, 64 GB)",10989,10999,,0.09,"(1,63,497)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",13989,15499,9,9.74,"(24,157)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"MOTOROLA G96 5G (Pantone Greener Pastures, 128 GB)",18989,20999,9,9.57,"(98,583)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"Samsung Galaxy F36 5G (Black, 128 GB)",18989,22999,17,17.44,"(10,932)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"realme P4 Lite 5G (Mosaic Green, 128 GB)",16489,22999,28,28.31,(542),mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"realme P4 Lite 5G (Mosaic Green, 64 GB)",13489,19999,32,32.55,"(1,480)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"realme P4 Lite 5G (Mosaic Blue, 64 GB)",13489,19999,32,32.55,"(1,480)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"MOTOROLA g57 power 5G (Pantone Fluidity, 128 GB)",15989,17999,11,11.17,"(40,902)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=1,2026-04-21 17:20:35
"Ai+ Pulse 2 (Purple, 64 GB)",8489,10999,22,22.82,"(3,127)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=2,2026-04-21 17:20:39
"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",18989,20999,9,9.57,"(98,583)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=2,2026-04-21 17:20:39
"realme P4 Lite 5G (Mosaic Green, 128 GB)",14489,20999,31,31.0,"(1,480)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=2,2026-04-21 17:20:39
"OnePlus Nord 6 (Pitch Black, 256 GB)",39490,52999,25,25.49,(86),mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=2,2026-04-21 17:20:39
"realme P4 5G (Steel Grey, 128 GB)",20989,20999,,0.05,"(23,080)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=2,2026-04-21 17:20:39
"realme P4 5G (Engine Blue, 128 GB)",20989,20999,,0.05,"(23,080)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=2,2026-04-21 17:20:39
"vivo T4R 5G (Twilight Blue, 256 GB)",26989,26999,,0.04,"(6,133)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=2,2026-04-21 17:20:39
"vivo T4R 5G (Arctic White, 256 GB)",24989,24999,,0.04,"(67,065)",mobiles,Shopsy,https://www.shopsy.in/search?q=smartphones&page=2,2026-04-21 17:20:39
